"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.89964472261946e-97,0.755441954388147,0.747,0.461,7.32545882478835e-93,"0","RPS14"
1.31332201465126e-95,1.02065038703882,0.523,0.256,1.9635477441051e-91,"0","PNMA6A"
5.291032307339e-95,1.11467791999139,0.443,0.193,7.91062240270254e-91,"0","MYCBPAP"
1.9758891983245e-94,0.543919825836866,0.916,0.671,2.95415194041496e-90,"0","GLYCTK"
1.05306318526257e-93,0.681579608336131,0.782,0.495,1.57443476828607e-89,"0","PTCHD1"
5.98343351300743e-93,0.6423141523568,0.746,0.438,8.9458314452974e-89,"0","DNAJC8"
4.07866447915938e-92,0.825795293789615,0.643,0.356,6.09801126279119e-88,"0","LIX1"
1.18604152863435e-91,0.537961664978014,0.902,0.661,1.77325068946122e-87,"0","SVIP"
9.92809343452028e-91,0.872696982240698,0.605,0.323,1.48434924939513e-86,"0","AKR1A1"
3.18380487173431e-90,0.942729804928657,0.531,0.26,4.76010666372997e-86,"0","TRIM28"
5.35233278227078e-90,0.593279685224545,0.858,0.588,8.00227274277305e-86,"0","TMEM106A"
2.10463656000645e-89,1.09050505687322,0.419,0.18,3.14664212086564e-85,"0","NAALADL2-AS3"
1.96755726986343e-88,0.89980594211416,0.544,0.273,2.94169487417281e-84,"0","TMEM126A"
3.96126424535794e-88,0.656310456044725,0.771,0.486,5.92248617323465e-84,"0","YIPF3"
2.45712060970298e-87,0.518957939314632,0.904,0.66,3.67364102356693e-83,"0","DCP1A"
6.87392471747217e-87,0.735963012728598,0.708,0.421,1.02772048450926e-82,"0","FBXW5"
1.35466090058521e-86,0.835982594638547,0.612,0.335,2.02535351246495e-82,"0","KLRG1"
1.60842582983509e-85,1.05421061545282,0.407,0.176,2.40475745818644e-81,"0","EGFL7"
3.65681778985379e-85,0.907608485724452,0.533,0.268,5.4673082776104e-81,"0","ZNF440"
4.1599199399721e-85,0.969268135417126,0.47,0.22,6.21949630225228e-81,"0","ZNF551"
6.67868326948662e-85,0.551168446377291,0.89,0.639,9.98529935620945e-81,"0","ALOX5AP"
4.10780776746087e-83,1.41822431560875,0.27,0.092,6.14158339313075e-79,"0","RRM2B"
3.22060428556986e-82,1.34139712795684,0.311,0.117,4.8151254673555e-78,"0","ALKBH1"
3.30470623023809e-82,0.560761957188235,0.842,0.544,4.94086628482897e-78,"0","ASTN2-AS1"
3.71457299581765e-81,0.545198226643493,0.876,0.631,5.55365808604697e-77,"0","PLXNB2"
7.13537932243533e-81,1.31718045793792,0.272,0.094,1.06681056249731e-76,"0","LRRC1"
1.02780390080919e-80,0.557284737621203,0.848,0.582,1.53666961209982e-76,"0","NAP1L1"
1.05933937425217e-80,0.635053153338077,0.8,0.524,1.58381829844442e-76,"0","CCDC89"
1.67200694070287e-80,0.651621842834154,0.759,0.491,2.49981757704486e-76,"0","FENDRR"
2.38890563752641e-78,0.500916541155853,0.873,0.632,3.57165281866574e-74,"0","UNC119B"
3.38333318417325e-78,0.828831092663765,0.537,0.282,5.05842144365743e-74,"0","ETFDH"
4.02643443646096e-78,0.657635567703459,0.764,0.478,6.01992212595278e-74,"0","ITGB3BP"
